date;time;species;infestation;replicate;specimen;wet_wgt;dry_wgt;inf_size
01/05/2021;90;Acanthochitona garnoti;infested;2;1;1944,20;769,60;19,00
01/05/2021;90;Acanthochitona garnoti;infested;2;2;1766,20;656,00;18,00
01/05/2021;90;Acanthochitona garnoti;infested;2;3;2173,70;959,30;NA
01/05/2021;90;Acanthochitona garnoti;non infested;3;1;1114,20;432,90;13,00
01/05/2021;90;Acanthochitona garnoti;non infested;3;2;1380,90;436,10;17,00
01/05/2021;90;Acanthochitona garnoti;non infested;3;3;2280,70;927,70;20,00
01/05/2021;90;Acanthochitona garnoti;infested;3;1;1707,00;649,50;17,00
01/05/2021;90;Acanthochitona garnoti;infested;3;2;1870,50;647,40;18,00
01/05/2021;90;Acanthochitona garnoti;infested;3;3;1821,80;657,50;17,00
17/05/2021;0;Helcion pectunculus;non infested;1;1;2521,40;NA;NA
17/05/2021;0;Helcion pectunculus;non infested;1;2;4880,40;NA;NA
17/05/2021;0;Helcion pectunculus;non infested;1;3;4273,80;NA;NA
17/05/2021;0;Helcion pectunculus;infested;1;1;6944,30;NA;NA
17/05/2021;0;Helcion pectunculus;infested;1;2;6038,00;NA;NA
17/05/2021;0;Helcion pectunculus;infested;1;3;4262,30;NA;NA
17/05/2021;0;Helcion pectunculus;non infested;2;1;4082,30;NA;NA
17/05/2021;0;Helcion pectunculus;non infested;2;2;2780,80;NA;NA
17/05/2021;0;Helcion pectunculus;non infested;2;3;6376,30;NA;NA
17/05/2021;0;Helcion pectunculus;infested;2;1;4429,30;NA;NA
17/05/2021;0;Helcion pectunculus;infested;2;2;3550,00;NA;NA
17/05/2021;0;Helcion pectunculus;infested;2;3;2558,20;NA;NA
17/05/2021;0;Helcion pectunculus;non infested;3;1;4336,10;NA;NA
17/05/2021;0;Helcion pectunculus;non infested;3;2;3015,70;NA;NA
17/05/2021;0;Helcion pectunculus;non infested;3;3;2523,70;NA;NA
17/05/2021;0;Helcion pectunculus;infested;3;1;6820,00;NA;NA
17/05/2021;0;Helcion pectunculus;infested;3;2;5127,00;NA;NA
17/05/2021;0;Helcion pectunculus;infested;3;3;3700,40;NA;NA
17/05/2021;15;Helcion pectunculus;non infested;1;1;4357,80;2020,00;27,00
17/05/2021;15;Helcion pectunculus;non infested;1;2;2768,00;1481,20;25,00
17/05/2021;15;Helcion pectunculus;non infested;1;3;2521,10;1347,10;25,00
17/05/2021;15;Helcion pectunculus;infested;1;1;3460,00;1723,70;26,00
17/05/2021;15;Helcion pectunculus;infested;1;2;4025,20;2045,90;28,00
17/05/2021;15;Helcion pectunculus;infested;1;3;4072,80;2014,40;29,00
